;КАССАЦИОННАЯ ИНСТАНЦИЯ;;;;;
Регион;Область;Суд первой инстанции;Суд второй инстанции;Наименование;Адрес;Номер суда
Центральный федеральный округ;Владимирская область;Арбитражный суд Владимирской области ;Первый арбитражный апелляционный суд;Арбитражный суд Волго-Вятского округа ;603082, Нижний Новгород, Кремль, корпус 4;8 (831) 416-27-16
Приволжский федеральный округ;Руспублика Марий Эл;Арбитражный суд Республики Марий Эл ;;;;
Приволжский федеральный округ;Республика Мордовия;Арбитражный суд Республики Мордовия ;;;;
Приволжский федеральный округ;Нижегородская область;Арбитражный суд Нижегородской области;;;;
Приволжский федеральный округ;Чувашская Республика;Арбитражный суд Чувашской Республики ;;;;
Центральный федеральный округ;Ивановская область;Арбитражный суд Ивановской области ;Второй арбитражный апелляционный суд;;;
Приволжский федеральный округ;Кировская область;Арбитражный суд Кировской области ;;;;
Северо-Западный федеральный округ;Республика Коми;Арбитражный суд Республики Коми ;;;;
Центральный федеральный округ;Костромская область;Арбитражный суд Костромской области ;;;;
Центральный федеральный округ;Ярославская область;Арбитражный суд Ярославской области ;;;;
Сибирский федеральный округ;Красноярский край;Арбитражный суд Красноярского края ;Третий арбитражный апелляционный суд;Арбитражный суд Восточно-Сибирского округа;664025, г. Иркутск, ул. Чкалова, 14;8 (3952) 214-884
Сибирский федеральный округ;Республика Тыва;Арбитражный суд Республики Тыва;;;;
Сибирский федеральный округ;Республика Хакасия;Арбитражный суд Республики Хакасия;;;;
Дальневосточный федеральный округ;Республика Бурятия;Арбитражный суд Республики Бурятия ;Четвертый арбитражный апелляционный суд;;;
Сибирский федеральный округ;Иркутская область;Арбитражный суд Иркутской области ;;;;
Дальневосточный федеральный округ;Республика Саха (Якутия);Арбитражный суд Республики Саха (Якутия);;;;
Дальневосточный федеральный округ;Забайкальский край;Арбитражный суд Забайкальского края ;;;;
Дальневосточный федеральный округ;Камчатский край;Арбитражный суд Камчатского края ;Пятый арбитражный апелляционный суд;Арбитражный суд Дальневосточного округа;680000, г. Хабаровск, Пушкина ул., д. 45;8 (4212) 30-22-54
Дальневосточный федеральный округ;Приморский край;Арбитражный суд Приморского края ;;;;
Дальневосточный федеральный округ;Сахалинская область;Арбитражный суд Сахалинской области;;;;
Дальневосточный федеральный округ;Амурская область;Арбитражный суд Амурской области ;Шестой арбитражный апелляционный суд;;;
Дальневосточный федеральный округ;Еврейская автономная область;Арбитражный суд Еврейской автономной области ;;;;
Дальневосточный федеральный округ;Магаданская область;Арбитражный суд Магаданской области ;;;;
Дальневосточный федеральный округ;Хабаровский край;Арбитражный суд Хабаровского края ;;;;
Дальневосточный федеральный округ;Чукотский автономный округ;Арбитражный суд Чукотского АО ;;;;
Сибирский федеральный округ;Алтайский край;Арбитражный суд Алтайского края ;Седьмой арбитражный апелляционный суд;Арбитражный суд Западно-Сибирского округа;625010, Тюмень, ул. Ленина, 74, корпус 1;8 (3452) 799-444
Сибирский федеральный округ;Кемеровская область;Арбитражный суд Кемеровской области ;;;;
Сибирский федеральный округ;Новосибирская область;Арбитражный суд Новосибирской области ;;;;
Сибирский федеральный округ;Республика Алтай;Арбитражный суд Республики Алтай ;;;;
Сибирский федеральный округ;Томская область;Арбитражный суд Томской области ;;;;
Сибирский федеральный округ;Омская область;Арбитражный суд Омской области ;Восьмой арбитражный апелляционный суд;;;
Уральский федеральный округ;Тюменская область;Арбитражный суд Тюменской области ;;;;
Уральский федеральный округ;Ханты-Мансийский автономный округ;Арбитражный суд Ханты-Мансийского АО ;;;;
Уральский федеральный округ;Ямало-Ненецкий автономный округ;Арбитражный суд Ямало-Ненецкого АО ;;;;
Центральный федеральный округ;город Москва;Арбитражный суд города Москвы ;Девятый арбитражный апелляционный суд;Арбитражный суд Московского округа;"127994, Москва, ГСП-4,
ул. Селезневская, д. 9";8 (495) 609-57-75
Центральный федеральный округ;Московская область;Арбитражный суд Московской области ;Десятый арбитражный апелляционный суд;;;
Приволжский федеральный округ;Пензенская область;Арбитражный суд Пензенской области ;Одиннадцатый арбитражный апелляционный суд;Арбитражный суд Поволжского округа;420066, г. Казань, ул. Красносельская,20;8 (843) 291-04-13
Приволжский федеральный округ;Самарская область;Арбитражный суд Самарской области ;;;;
Приволжский федеральный округ;Республика Татарстан;Арбитражный суд Республики Татарстан ;;;;
Приволжский федеральный округ;Ульяновская область;Арбитражный суд Ульяновской области ;;;;
Приволжский федеральный округ;Саратовская область;Арбитражный суд Саратовской области ;Двенадцатый арбитражный апелляционный суд;;;
Южный федеральный округ;Астраханская область;Арбитражный суд Астраханской области ;;;;
Южный федеральный округ;Волгоградская область;Арбитражный суд Волгоградской области ;;;;
Северо-Западный федеральный округ;Город Санкт-Петербург;Арбитражный суд Санкт-Петербурга и Ленинградской области;Тринадцатый арбитражный апелляционный суд;Арбитражный суд Северо-Западного округа;"
190121, Санкт-Петербург, ул. Якубовича, дом 4";8 (812) 312-82-96
Северо-Западный федеральный округ;Республика Карелия;Арбитражный суд Республики Карелия ;;;;
Северо-западный федеральный округ;Калининградская область;Арбитражный суд Калининградской области ;;;;
Северо-Западный федеральный округ;Мурманская область;Арбитражный суд Мурманской области ;;;;
Северо-западный федеральный округ;Архангельская область;Арбитражный суд Архангельской области ;Четырнадцатый арбитражный апелляционный суд;;;
Северо-западный федеральный округ;Вологодская область;Арбитражный суд Вологодской области ;;;;
Северо-западный федеральный округ;Новгородская область;Арбитражный суд Новгородской области ;;;;
Северо-Западный федеральный округ;Псковская область;Арбитражный суд Псковской области ;;;;
Центральный федеральный округ;Тверская область;Арбитражный суд Тверской области ;;;;
Южный федеральный округ;Краснодарский край;Арбитражный суд Краснодарского края ;Пятнадцатый арбитражный апелляционный суд;Арбитражный суд Северо-Кавказского округа;350063, г. Краснодар, ул. Рашпилевская, д. 4;8 (861) 201-34-05
Южный федеральный округ;Республика Адыгея;Арбитражный суд Республики Адыгея ;;;;
Южный федеральный округ;Ростовская область;Арбитражный суд Ростовской области ;;;;
Северо-Кавказский федеральный округ;Республика Дагестан;Арбитражный суд Республики Дагестан ;Шестнадцатый арбитражный апелляционный суд;;;
Северо-Кавказский федеральный округ;Республика Ингушентия;Арбитражный суд Республики Ингушетия ;;;;
Южный федеральный округ;Республика Калмыкия;Арбитражный суд Республики Калмыкия ;;;;
Северо-Кавказский федеральный округ;Кабардино-Балкарская республика;Арбитражный суд Кабардино-Балкарской Республики ;;;;
Северо-Кавказский федеральный округ;Карачаево-Черкесская Республика;Арбитражный суд Карачаево-Черкесской Республики ;;;;
Северо-Кавказский федеральный округ;Республика Северная Осетия-Алания;Арбитражный суд Республики Северная Осетия ;;;;
Северо-Кавказский федеральный округ;Чеченская республика;Арбитражный суд Чеченской Республики ;;;;
Северо-Кавказский федеральный округ;Ставропольский край;Арбитражный суд Ставропольского края ;;;;
Приволжский федеральный округ;Пермский край;Арбитражный суд Пермского края ;Семнадцатый арбитражный апелляционный суд;Арбитражный суд Уральского округа;620075, г. Екатеринбург, пр.Ленина 32/27;8 (343) 311-16-90
Приволжский федеральный округ;Пермский край;Арбитражный суд ПСП Арбитражного суда Пермского края в г.Кудымкаре;;;;
Уральский федеральный округ;Свердловская область;Арбитражный суд Свердловской области ;;;;
Приволжский федеральный округ;Удмуртская Республика;Арбитражный суд Удмуртской Республики ;;;;
Приволжский федеральный округ;Республика Башкортостан;Арбитражный суд Республики Башкортостан ;Восемнадцатый арбитражный апелляционный суд;;;
Уральский федеральный округ;Курганская область;Арбитражный суд Курганской области ;;;;
Приволжский федеральный округ;Оренбургская область;Арбитражный суд Оренбургской области;;;;
Уральский федеральный округ;Челябинская область;Арбитражный суд Челябинской области ;;;;
Центральный федеральный округ;Белгородская область;Арбитражный суд Белгородской области ;Девятнадцатый арбитражный апелляционный суд;Арбитражный суд Центрального округа;248001 г. Калуга, ул. Кирова, д. 4;8 (4842) 71-33-11
Центральный федеральный округ;Воронежская область;Арбитражный суд Воронежской области ;;;;
Центральный федеральный округ;Курская область;Арбитражный суд Курской области ;;;;
Центральный федеральный округ;Липецкая область;Арбитражный суд Липецкой области ;;;;
Центральный федеральный округ;Орловская область;Арбитражный суд Орловской области ;;;;
Центральный федеральный округ;Тамбовская область;Арбитражный суд Тамбовской области ;;;;
Центральный федеральный округ;Брянская область;Арбитражный суд Брянской области ;Двадцатый арбитражный апелляционный суд;;;
Центральный федеральный округ;Калужская область;Арбитражный суд Калужской области ;;;;
Центральный федеральный округ;Рязанская область;Арбитражный суд Рязанской области ;;;;
Центральный федеральный округ;Смоленская область;Арбитражный суд Смоленской области ;;;;
Центральный федеральный округ;Тульская область;Арбитражный суд Тульской области ;;;;
Южный федеральный округ;Республика Крым;Арбитражный суд Республики Крым ;Двадцать первый арбитражный апелляционный суд;;;
Южный федеральный округ;Республика Крым;Арбитражный суд города Севастополь;;;;